          CRC         Date          Time       Latitude      Longitude        Fix     Alt(m) Temp(°C)     Volts      Mort
ID 245099:  Msg {475}  GPS {Total = 238   OK = 214   Fail = 24}
           OK,  13/10/2023,  03:02:24 PM,   -18.8438148,    48.0317841,        3D,      905,         ,         ,         
           OK,  13/10/2023,  04:02:08 PM,   -18.8438148,    48.0317307,        3D,      907,         ,         ,         
           OK,  13/10/2023,  08:01:04 PM,   -18.8438148,    48.0317841,        3D,      892,         ,         ,         
           OK,  13/10/2023,  10:00:32 PM,   -18.8438148,    48.0317574,        3D,      891,         ,         ,         
           OK,  13/10/2023,  11:00:16 PM,   -18.8445320,    48.0278130,        2D,        0,         ,         ,         
           OK,  14/10/2023,  12:00:00 AM,   -18.8438396,    48.0317841,        3D,      909,         ,         ,         
           OK,  14/10/2023,  04:03:12 AM,   -18.8437634,    48.0317574,        3D,      909,         ,         ,         
           OK,  14/10/2023,  09:01:52 AM,   -18.8438663,    48.0317841,        3D,      922,         ,         ,         
           OK,  14/10/2023,  03:00:16 PM,   -18.8438148,    48.0317039,        3D,      903,         ,         ,         
           OK,  14/10/2023,  04:59:44 PM,   -18.8438396,    48.0318604,        3D,      920,         ,         ,         
           OK,  14/10/2023,  05:59:28 PM,   -18.8438148,    48.0317841,        3D,      900,         ,         ,         
           OK,  14/10/2023,  06:59:12 PM,   -18.8412552,    48.0269966,        2D,        0,         ,         ,         
           OK,  14/10/2023,  08:03:12 PM,   -18.8440189,    48.0318832,        3D,      779,         ,         ,         
           OK,  14/10/2023,  09:02:56 PM,   -18.8435841,    48.0307579,        3D,      710,         ,         ,         
OK(corrected),  15/10/2023,  12:02:08 AM,   -18.8481159,    48.0319099,        2D,        0,         ,         ,         
OK(corrected),  15/10/2023,  02:01:36 AM,   -18.8438148,    48.0317841,        3D,      905,         ,         ,         
         Fail,  19/11/2021,  01:50:56 AM,   -18.9401207,    48.0563850,        2D,     1446,         ,         ,         
         Fail,  02/08/2022,  07:54:40 PM,    84.6454163,  -106.5042267,        2D,     5022,         ,         ,         
         Fail,  26/08/2022,  11:22:40 AM,  -126.2115479,    49.7103996,        2D,     1024,         ,         ,         
         Fail,  13/09/2022,  01:13:36 PM,  -142.2917175,   -47.9768448,        2D,      560,         ,         ,         
         Fail,  23/10/2022,  06:24:00 AM,    -5.4211969,    48.0302963,        3D,      901,         ,         ,         
